full_text,ner
 حواره زعتره سالك وجود جيش مش طبيعي,B-LOC B-LOC STAT O B-ORG O O
 شباب حاجز عطارة صردا,O Barr O O
شكرا حوارة قصدي البلد، مش حاجز حوارة,O B-LOC O O O Barr B-LOC
 حواره سالك,B-LOC STAT
 رام الله نابلس سالك,O O O STAT
 فش مشاكل ازمه,O O STAT
 تفتيش الشرطة؟,STAT B-ORG
زعترة شرطة؟ اه شرطة,B-LOC B-ORG O B-ORG
 حاجز حوارة,Barr B-LOC
تفتيش الشرطة؟ مريت زعترة، كانت الشرطة واقفة ،,STAT B-ORG O B-LOC O B-ORG STAT O
 حوارة سالك,B-LOC STAT
 حواره فاتح,B-LOC STAT
حاجز حوارة مرينا نص ساعه حوارة وزعترة سالك الاتجاهين,Barr B-LOC O O O B-LOC B-LOC STAT O
 سالكه,STAT
 الطريق نابلس لجنين سالكه,Barr O O STAT
 كامل خط يتسهار سالك ونظيف مفرق جت صرة سالك الاتجاهات حاجز صرة سالك ونظيف كامل خط قلقيلية نابلس سالك ونظيف,O O B-LOC STAT STAT O B-LOC B-LOC STAT O Barr B-LOC STAT STAT O O O O STAT STAT
 الاخوه الكرام، تحيه طيبه جميعانحن موقع الطرق منطلق الحرص سلامتكم المساعده تخفيف الضغط الطرق الخارجيه، يتمكن مشترك موقعنا السفر بأمن وأمان وسلامه الطرق الخارجيه، وضعنا الشروط متمنين التقيد التعليمات والقوانين الخاصه بالموقعالممنوع الموقعالتعرض للاجهزه الامنيه الفلسطينيه اماكن تواجدها او نشاط منوط بهاتصوير ضحايا الحوادث او ذكر اسمائهم حال وجود حادث، كتابة مكان الحادث ووجود ازمه بالمكان او الطريق البديل، واذا لابد التصوير فيجب تشمل الصور احد الضحايايمنع نقل الاخبار مواقع اخرى، نكتب نشاهده امام اعينناأي اخبار تخص الطرق والحواجز الاسرائيليه سواء كانت سياسيه او اجتماعيه او دينيه او حزبيهرسائل الخير وجمعه مباركه أوالاعياد واي رموز ايضا ممنوعهيمنع منعا باتا حوار الاعضاء سواء ديني او حزبي او سياسي او كان، للطرقلا نريد شيء يبعدنا هدفنا اسسنا الموقع اجلهسيتم حذف مشترك يلتزم القواعد متنين سفرا امنا وخالي المشاكلكما نتمنى الاخوه المشتركين عدم تكرار الاسئله الوقت الموضوع، تحديث بشكل دائم لحالة الطرق قبلنا ونتمنى العوده للنظر تعليقات الاعضاء السؤالودمتم سالميناخوتكم موقع الطرق الخارجيه والحواجز,O B-LOC O O O O O O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O I-ORG O O O O O O O O O O O O O O O O O O STAT O O Barr O O O O O O O O O O O O O O O O O O O O O I-ORG O O O O O O O O O O O O O B-LOC O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
بدي أطلع قبلان لنابلس ، يتسهار صرة سالكين ؟ سالك شرطه زعتره,O O O O O B-LOC B-LOC STAT O STAT B-ORG B-LOC
 زعترة سالك,B-LOC STAT
شو وضع حوارة سالك,O O B-LOC STAT
 الجلزون ازمة واقفة,B-LOC STAT STAT
 الطريق إشارات حارس الفندق صرة,Barr O B-LOC B-LOC B-LOC
كامل خط يتسهار سالك ونظيف مفرق جت صرة سالك الاتجاهات حاجز صرة سالك ونظيف كامل خط قلقيلية نابلس سالك ونظيف انا بطريق قلقيليه سالكه,O O B-LOC STAT STAT O B-LOC B-LOC STAT O Barr B-LOC STAT STAT O O O O STAT STAT I-LOC Barr O STAT
 دير شرف فاتحه,B-LOC I-LOC STAT
 يسعد مساكم جميعا,O O O
 الفندق رواق سالك,B-LOC O STAT
الطريق رام الله نابلس سالك,Barr O O O STAT
 ديرشرف الطنيب شافي شمرون سالك,O O B-LOC I-LOC STAT
الاخوه الكرام، تحيه طيبه جميعانحن موقع الطرق منطلق الحرص سلامتكم المساعده تخفيف الضغط الطرق الخارجيه، يتمكن مشترك موقعنا السفر بأمن وأمان وسلامه الطرق الخارجيه، وضعنا الشروط متمنين التقيد التعليمات والقوانين الخاصه بالموقعالممنوع الموقعالتعرض للاجهزه الامنيه الفلسطينيه اماكن تواجدها او نشاط منوط بهاتصوير ضحايا الحوادث او ذكر اسمائهم حال وجود حادث، كتابة مكان الحادث ووجود ازمه بالمكان او الطريق البديل، واذا لابد التصوير فيجب تشمل الصور احد الضحايايمنع نقل الاخبار مواقع اخرى، نكتب نشاهده امام اعينناأي اخبار تخص الطرق والحواجز الاسرائيليه سواء كانت سياسيه او اجتماعيه او دينيه او حزبيهرسائل الخير وجمعه مباركه أوالاعياد واي رموز ايضا ممنوعهيمنع منعا باتا حوار الاعضاء سواء ديني او حزبي او سياسي او كان، للطرقلا نريد شيء يبعدنا هدفنا اسسنا الموقع اجلهسيتم حذف مشترك يلتزم القواعد متنين سفرا امنا وخالي المشاكلكما نتمنى الاخوه المشتركين عدم تكرار الاسئله الوقت الموضوع، تحديث بشكل دائم لحالة الطرق قبلنا ونتمنى العوده للنظر تعليقات الاعضاء السؤالودمتم سالميناخوتكم موقع الطرق الخارجيه والحواجز طريق السلامة للجميع بوركت الجهود,O B-LOC O O O O O O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O I-ORG O O O O O O O O O O O O O O O O O O STAT O O Barr O O O O O O O O O O O O O O O O O O O O O I-ORG O O O O O O O O O O O O O B-LOC O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O Barr O O O O
 طريق حواره مستوطنين,Barr B-LOC B-ORG
 مستوطنين يتسهار,B-ORG B-LOC
 فاتح حاجز الحمرا يجماعة؟,STAT Barr B-LOC O
 ردو,O
 وال مالكم,O O
شو وضع صرة ودير شرف شباب ؟؟؟؟؟؟؟؟؟؟؟؟؟؟ صرة للخارج حاجز,O O B-LOC B-LOC I-LOC O O B-LOC O Barr
 مسكر لسا,STAT O
 يسعد مساكم الطريق طولكرم نابلس,O O Barr O O
 تفتيش للخارج نابلس صرة,STAT O O B-LOC
 انا عارف انك محترمة ودخله لان شهوتك كبيرةمكسوفة تكتبي وبتبعى برةتعالي خاص شوشرة نريح مصداقية ونكون اصدقاء بجد,I-LOC O O O O O O O O O O O O O O O O O
شباب شو زعتره زعتره سيارتين شرطه,O O B-LOC B-LOC O B-ORG
 زعترة جبين شرطه,B-LOC O B-ORG
 تفتيش,STAT
 صرة سالكة تماما للجهتين,B-LOC STAT B-LOC O
 صره للي طالع حاجز,B-LOC O O Barr
صره للي طالع حاجز هسا طلعت بوقفوش الكل,B-LOC O O Barr O O O O
 يتسهار سالك ونضيف,B-LOC STAT O
حوارة يتسهار ؟ سالك والحمدلله,B-LOC B-LOC O STAT O
صرة حاجز بوقفو عمزاجهم,B-LOC Barr O O
 شرطة قرب تحناه كرنيه شمرون للمتوجهين لقلقيلية,B-ORG O O O I-LOC O O
 يا اخوان الطرق سالكة,O O O STAT
 سالكه,STAT
 حواره للداخل نابلس حاجز,B-LOC O O Barr
 كامل خط قلقيلية نابلس سالك حاجز صرة سالك ونظيف,O O O O STAT Barr B-LOC STAT STAT
حواره للداخل نابلس حاجز معلقين شكلو مسكر,B-LOC O O Barr O O STAT
 تفتيش شكلهموقفتين ترك,STAT O O
 الجلزون سالك,B-LOC STAT
 الجواب الدم يرد بالدم القتل يرد بالقتل قتلت قواتنا قصير إرهابيا قلقيلية بالرصاص جاء ردا الهجوم وقع مدينة ديسينجوف تل أبيب الليلة الماضية,O O O O O O O O I-LOC O O O O O O O O O O B-LOC O O O
 المربعه فاتحه,B-LOC STAT
 ليش مسكر حوارة للداخل نابلس,O STAT B-LOC O O
 حوارة حاجز تفتيش للداخلين نابلس,B-LOC Barr STAT O O
 شرطة عدوار قرني شمرون,B-ORG Barr O I-LOC
 صرة سالك للجهتين,B-LOC STAT O
 سيارتين شرطة زعترة جهة نابلس,O B-ORG B-LOC O O
 حاجز حوارة أزمة,Barr B-LOC STAT
 حواره امسكر,B-LOC STAT
حاجز حوارة أزمة ازمة مسكر,Barr B-LOC STAT STAT STAT
 مسكر,STAT
 زعترة سالكه,B-LOC STAT
 مسكر ازمة الله,STAT STAT O
ليش مسكر حوارة للداخل نابلس حواره ازمه وتفتيش,O STAT B-LOC O O B-LOC STAT STAT
 حواره ازمه,B-LOC STAT
 يتساهار سالك,B-LOC STAT
طريق يتساهار يا شباب سالك,Barr B-LOC O O STAT
يتساهار سالك سالك,B-LOC STAT STAT
 رام الله اللبن سالكة تماما,O O I-LOC STAT B-LOC
 زعترة سالك,B-LOC STAT
 حواره ازمه,B-LOC STAT
حوارة للخارج نابلس ؟ سالكة الداخل مسكر,B-LOC O O O STAT O STAT
 شباب جيش حاجز صرة,O B-ORG Barr B-LOC
 مخصوم حواره عالداخل مسكر ازمه,Barr B-LOC O STAT STAT
شباب جيش حاجز صرة شكلهم بدهم يسدو حاجز صرة,O B-ORG Barr B-LOC O O O Barr B-LOC
 زعتره ساالك,B-LOC STAT
 حواره سالكه,B-LOC STAT
 حاجز حوارة مسكر ازمه,Barr B-LOC STAT STAT
 مخصوم الحمرة,Barr B-LOC
 حواره سالك,B-LOC STAT
 حاجز حوارة سالك,Barr B-LOC STAT
مخصوم الحمرة سالك,Barr B-LOC STAT
 حالياً سالك,O STAT
 صحيح سالك,O STAT
 سالك,STAT
 حوارة سالك تماما,B-LOC STAT B-LOC
 صره للي طالعين نابلس تفتيش,B-LOC O O O STAT
صره للي طالعين نابلس تفتيش واللي داخل نابل؟,B-LOC O O O STAT O O O
 حواره سالك,B-LOC STAT
 سالك,STAT
واللي داخل نابل؟ سالكه,O O O STAT
 سينيا سالك تماما,O STAT B-LOC
 وين ازمي للدنيه,O O O
شو وضع الجريق كثير ازمي,O O O O O
لهسا هاد؟ خمس دقايق وسلك,O O O O O
 حوّارة سالك,B-LOC STAT
 عيون الحرامية سالك,O O STAT
 طلعتي نابلس حوّارة سالك,O O B-LOC STAT
 حاجز حواره فاتح للداخل شي,Barr B-LOC STAT O O
 شيلو سالك,O STAT
 عيليي سالك,O STAT
 حاجز حوارة,Barr B-LOC
حاجز حوارة سالك,Barr B-LOC STAT
 دوار سليمان الفارسي يتسهار برضو سالك,Barr B-LOC I-LOC B-LOC O STAT
شو وضع حوارة سالك,O O B-LOC STAT
 حوارة سااالكه بالفيديو مصور كمان,B-LOC STAT O O O
الطريق رام الله لنابلس سالكة,Barr O O O STAT
 جيش دوار بستا شالك,B-ORG Barr O O
 الطرق سالكه اسبتو لانهم,O STAT O O
 عينبوس شالك جسش,O O O
 دوار يتسهار سالك,Barr B-LOC STAT
شو وضع الطريق رام الله الى جنين سالك,O O Barr O O O O STAT
شباب وضع شيلو وعيلي سالك,O O O O STAT
 جيت حوارة دقايق سالك وجود جيش عجنب الطريق,B-LOC B-LOC O STAT O B-ORG O Barr
 مفرق جيت وصرة سالكات,O B-LOC B-LOC STAT
 نابلس لطولكرم سالك تماما,O O STAT B-LOC
 طولكرم رام الله سالكة,O O O STAT
وضع حوارة سمحتو معلوماتي سالك,O B-LOC O O STAT
وضع حوارة سمحتو سالك,O B-LOC O STAT
 انا وصلت رام الله جنين الطريق سالكه ولايوجد شيئ,I-LOC O O O O Barr STAT O O
 الي بسال حواره غلب حالو وقرا يسال بعطينا افاده يمرق,O O B-LOC O O O O O O O
 رام الله الى غزارة سالك,O O O O STAT
 زعترة سالك,B-LOC STAT
حوارة سالك؟ سالك,B-LOC STAT STAT
 حوارة يتسهار سالك,B-LOC B-LOC STAT
 اخر تحديث يا شباب,O O O O
جنين لرام الله اشي سالكة,O B-LOC O STAT STAT
 ديرو بالكم حاجز شافي شمرون حطو مسامير بنص الشارع,B-LOC O Barr B-LOC I-LOC O O O O
 عنابويستهار حوارة وزعترة سالكين بالاتجاهين,O B-LOC B-LOC STAT O
 حاجز حوارة سالك ونظيف,Barr B-LOC STAT STAT
شو وضع الطريق قلقيلية لنابلس سالكة,O O Barr O O STAT
يتسهار؟ سالكة,B-LOC STAT
 زعترة لعيون للحرامية سالكة بالاتجاهين,B-LOC O O STAT O
 سالك,STAT
 الحمرا ازمة,B-LOC STAT
 كامل خط يتسهار سالك ونظيف,O O B-LOC STAT STAT
 شباب يسعد مساكم حواره وزعترة,O O O B-LOC B-LOC
 يسعد مساكم طولكرم لنابلس سالكه تمااام عدم تواجد جيش طول الطريق,O O O O STAT O O O B-ORG O Barr
 شباب يسعد مساكم حواره وزعترة,O O O B-LOC B-LOC
 شباب يسعد مساكم,O O O
 ازمة,STAT
 اه ازمة,O STAT
ازمة ماشيه,STAT STAT
 الي نازل الرام ازمة,O O B-LOC STAT
 ازمة خانقة,STAT O
 جبع لحزما الازمة,B-LOC B-LOC STAT
شباب كفر ثلث وعزون الشماليه لنابلس وضع الطريق خصوصا كفر ثلث وبوابه عزون الشماليه سالكة هيني الخط,O O O O O O O Barr O O O O O O STAT O O
حاجز صرة يا شباب ؟ سالك,Barr B-LOC O O O STAT
 دير شرف كامل خط يتسهار حواره سالك ونظيف,B-LOC I-LOC O O B-LOC B-LOC STAT STAT
 دوار قدوميم سالك ونظيف,Barr B-LOC STAT STAT
 حاجز صرة سالك ونظيف كامل خط قلقيلية نابلس سالك ونظيف,Barr B-LOC STAT STAT O O O O STAT STAT
شياب الطريق زعترة فاتحة,O Barr B-LOC STAT
 كامل خط يتسهار سالك ونظيف دوار سلمان الفارسي سالك الاتجاهات,O O B-LOC STAT STAT Barr B-LOC I-LOC STAT O
 كامل خط حوارة الرئيسي سالك,O O B-LOC O STAT
 الفندق لحوارة سالك ونظيف,B-LOC B-LOC STAT STAT
طريق نابلس لرامالله كيف؟ توكل عالله سالكه,Barr O O O O O STAT
طريق نابلس اريحا حركه سير طبيعيه وماتسرع,Barr O O O O O O
دعواتكم بالسلامه انشالله,O O O
 شباب اغلبكم حاجز آلحمره,O O Barr B-LOC
 شارع ييتسهار سالك تماما حركه سير ماشيه,O B-LOC STAT B-LOC O O STAT
طريق نابلس رام الله سمحتو ؟ سالكه تماما,Barr O O O O O STAT B-LOC
 تواجد قطعان المستوطنين بالقرب الطنيب طريق طولكرم نابلس,O O B-ORG O O Barr O O
يتسهار سالكه تماما,B-LOC STAT B-LOC
طريق نابلس رام الله سمحتو ؟ سالكه انشاللهً,Barr O O O O O STAT O
 تواجد قطعان المستوطنين بالقرب الطنيب طريق طولكرم نابلس,O O B-ORG O O Barr O O
الطريق العيزريه لرام الله سمحتو؟ سالكة,Barr B-LOC B-LOC O O STAT
اشي الطنيب اه مسطوطنين,STAT O O B-ORG
النبي صالح وحلميش اشي ؟؟ سالكه قاعدين باب حلميش بحكوش,B-LOC I-LOC O STAT O STAT O O O O
سالكه قاعدين باب حلميش بحكوش شكرا الك اخوي,STAT O O O O O STAT O
 لاخر تحديث حومش سالكه وشافي شمرون سالك كدوميم سالكتوكل عالله,O O O STAT B-LOC I-LOC STAT B-LOC O O
 شباب اغلبكم بدي تحكولي اطلع نابلس الخليل وين مواصلات,O O O O O O O O O
 معرجات,O
شباب اغلبكم بدي تحكولي اطلع نابلس الخليل وين مواصلات اعتقد مواصلة نابلس الى رام اللهواخرى رام الله الى الخليل,O O O O O O O O O O O O O O O O O O O
طريق حواره نابلس بكره مرقت اسبوع كانت سالكه,Barr B-LOC O O O O O STAT
 وين اروح انا تضرب حالك,O O I-LOC O O
شباب حواره وزعتره حاليا حد بعرف سالكين توكل عالله,O B-LOC B-LOC O O O STAT O O
 سالكه عشر دقايق وصلت طولكرم رامالله,STAT O O O O O
الطرق لارام الله حواره وزعتره وباقي الطريق سلكه,O B-LOC O B-LOC B-LOC O Barr O
 طيب سؤال طرق فاتحه دائما طولكرم رام الله يوم,O O Barr STAT O O O O O
 بوابة شافي شيرون سكروها,O B-LOC I-LOC STAT
الطريق جنين نعلين سالكه,Barr O O STAT
الطبعه رام الله لانهم بحكولي ساعه بحال طريق بدك تطلعي اسالي، بنجاوبك,O O O O O O O Barr O O O O
 سالكه,STAT
حواره زعتره سالمه ؟ صحيح سالكات,B-LOC B-LOC O O O STAT
 حوراره,O
حاجز حوارة سالك ؟ اه سالك,Barr B-LOC STAT O O STAT
الي بسال الطرق لبكرا شو بتهيألووالطريق دايما سالكه هاد السؤاللما بدك تتحرك لمكان بتسال وجوابك بوصلك السلامه للجميع معلش الناس بدها تعرف هادا الوقت شوبدها تعمل ولازم نتحملهم الحالات صدر رحب,O O O O O O O STAT O O O O B-LOC O O O O O O O O O O O O O O O O O O
معلش الناس بدها تعرف هادا الوقت شوبدها تعمل ولازم نتحملهم الحالات صدر رحب ماحدا بحزر عالطريق دقايق لنسال بكرا,O O O O O O O O O O O O O B-LOC O O O O O
الي بسال الطرق لبكرا شو بتهيألووالطريق دايما سالكه هاد السؤاللما بدك تتحرك لمكان بتسال وجوابك بوصلك السلامه للجميع الخير مش انت المخرج بدك اتحط الحقلة تاعت ثاني يوم اعاقات حواجزالله المستعان,O O O O O O O STAT O O O O B-LOC O O O O O O O O O O O O O O O O O O
 يبدو خاجز لان القنوات تتحدث احتجاز شابين مخيم جنين حاجز شافي شمرون اطلاق سراحهم,O O O O O O O O O Barr B-LOC I-LOC STAT O
 الخير الطريق نابلس لطولكرم طريق دير شرف سالك وفاضي,O Barr O O Barr B-LOC I-LOC STAT STAT
اشي عدير شرف؟ سالكه,STAT B-LOC I-LOC STAT
 صرة سالك بالاتجاهين,B-LOC STAT O
 حدث عادي طريق الجلزون كازية الهدى بقليل حادث او حدث امني,O O Barr B-LOC O O O O O O O
 انا وصلت طولكرم رام الله والطريق كانت سالكة تماما واليهود مسبتين,I-LOC O O O O O O STAT B-LOC O O
مسا الخير الطريق رام الله لنابلس سالك ؟ سالك ميه ميه انشالله,O O Barr O O O STAT O STAT O O O
طريق نابلس لرام لله ؟ هسا مرقت سالك,Barr O B-LOC O O O O STAT
طريق نابلس لرام لله ؟ سالك حاليا,Barr O B-LOC O O STAT O
حاجز شافي شمرون وضعو سالك اخر تحديث,Barr B-LOC I-LOC O STAT O O
 مسا الخير جماعة الخيرفي حدا مروح رام الله لنابلس الليلة ننزل معا,O O O O O O O O O O O O
 زعترة حواره سالكه,B-LOC B-LOC STAT
 سلفيت لروجيب,O O
شباب شو وضع الحمرا ؟ نص مريت الحاجز ماشي جنود حاجزين شابين الشارع,O O O B-LOC O O O Barr STAT O Barr O O
 دخول جيبات الجيش دير شرف حاليا بطلوع قوصين,O O B-ORG B-LOC I-LOC O O O
 دوار يتسهار ومنطقة حاجز حوارة,Barr B-LOC O Barr B-LOC
 دوار سلمان الفارسي اسمه فاضي فش اشي,Barr B-LOC I-LOC O STAT O STAT
 سيارة مستوطنين هيك الحكي,O B-ORG O O
بعرف درجة المصداقية استنفار مش طبيعي فحواره الحاجز,O O O O O O O Barr
 الي مرق الحاجز يحكيلنا,O O Barr O
بتنصحوني امرق حواره؟ نابلس الحدثاولي الحديث يدور إطلاق نار سيارة مستوطنين قرب دوار يتسهار بلدة حوارة نابلساستنفار كبير لقوات الاحتلال حوارة,O O O O O O O O O O B-ORG O Barr B-LOC O B-LOC O O O O B-LOC
 الحاجز,Barr
قناة بلاطة نزلت الخبر وع الاغلب للتفاعل حدث امني القنوات العبرية نزلت اشي القنوات العبريه مسبتين وعالاغلب مغلقين اليوم,O O O O O O O O O O B-LOC O STAT O O O O STAT O
 بحكو شارع يتسهار قرب المستوطنة,O O B-LOC O B-ORG
 نجمة داوود تصل المكان بقولوا,O O B-LOC O O
القنوات العبريه مسبتين وعالاغلب مغلقين اليوم بالاحداث الامنية بينشرو اخبار خاصة قنوات المستوطنين,O O O O STAT O O O O O O O B-ORG
 أطلق مسلحون النار سيارة للمستوطنين مدينة نابلس,O O O O B-ORG O O
 عمليه بحواره عالاكيد,O O O
نجمة داوود تصل المكان بقولوا وسكروا المنطقه,O O B-LOC O O STAT O
 صفحات لاعلام نزلت,O O O
 أطلق مسلحون النار سيارة للمستوطنين مدينة نابلس,O O O O B-ORG O O
 التلجرام احد صفحات التلجرام,O O O O
 عاجلمصادر محلية إطلاق نار مقاومون يستهدف مستوطنة كرمي تسور قرب بيت امر بالخليل,O O O O O O B-ORG O O O B-LOC O O
 الي بوصل الحاجز يحكيلنا,O O Barr O
 عملية بحوارة واستنفار عالحاجز شباب,O B-LOC O O O
 ترجمة حرفية قروبات المستوطنين التقرير الأوليأفاد العرب بإطلاق النار سيارة يهود حوارةالتفاصيل قيد المراجعة,O O O B-ORG O O O O O O B-ORG O O B-LOC
 اعلام العبري أطلق مسلحون النار سيارة للمستوطنين مدينة نابلس,B-LOC O O O O O B-ORG O O
 اخوي مسكرة,O STAT
 طخو عسيارة وسكرو حوارة,O O STAT B-LOC
متاكد هيك الأخبار بتحكيي,O O O O
 حد شاف بعينو او قريب المنطقه,O B-LOC O O O O
 طلع بلاغ كااذب يعطيكم العافية استنفروا الفاضيي,O O O O O O O
 يا عمي مالكم دخل السبت المستوطنين فش مستوطنين صفحات مضروبة بدها تخلق بلبلة,O O O O O B-ORG O B-ORG O O O O O
يلي معو رقم حدا قريب منطقه قليقيليه يكتبو هون للضروره حال انقطاعك طرق الضفهارقام الونشات چرار خدمه ساعه لخدمتكم ونشات بليبله ونشات بليبله ونشات ابو مالك ونشات كفاح مرئه,O O O O O O O O O O O O Barr O O O O O O O O O O O O O O O O
 الحمرة سالك,B-LOC STAT
 توصل بالسلامة,O O
عاش النفس يسلم ايديكم جميعاً تقوم بالسلامة حبيب,O O O O O O O O
رقم مين ابو مالك ونش,O O O O O
عاش النفس يسلم ايديكم جميعاً الله يسعدك يا حبيب بالسلامة,O O O O O O O O O O
 سالط,O
يتسهار ؟ سالكه ان شاء الله درب السلامه,B-LOC O STAT O O O O O
سالكه ان شاء الله وصل الونش؟,STAT O O O O O
رنيتلو هيو جاي حال انقطاعك طرق الضفهارقام الونشات چرار خدمه ساعه لخدمتكم ونشات بليبله ونشات بليبله ونشات ابو مالك ونشات كفاح مرئه,O O O O O Barr O O O O O O O O O O O O O O O O
 سالك صره اخي,STAT B-LOC O
نابلس لطولكرم سالكه,O O STAT
نابلس لطولكرم سالكة,O O STAT
 ماشية,STAT
 لازم التاكد الخبر النشر عشان الناس يلي عالطرق,O O O O O O O O
شباب إشارة هاد الباص امسحوها طلع تمام بخوض نعنع المسكين,O O O O O O O O O O
 هاظ القروب عشان نعرف احوال الطرق,O O O O O O
 حواره سالك,B-LOC STAT
بسيطه هيك يجزيك الخير دير بالك بالسلامة يا غالي,O O O O B-LOC O O O O
 بيحكي انه القروب لاحوال الطريق يعني مش للاشاعات,O O O O Barr O O O
دير بالك بالسلامة يا غالي الله يسلمك حبيب,B-LOC O O O O O O O
يا شباب احنا مروحين حاليا يا ريت حد يفيدنا حواره شو وضعها سالكه ؟ سالكه يا اصيل درب السلامه,O O O O O O O O O B-LOC O O STAT O STAT O I-LOC O O
 شكرا الكم,O O
 بسيطه توصل بالسلامه,O O O
 أَشِدَّاءُ عَلَى الْكُفَّارِ رُحَمَاءُ بَيْنَهُمْالشهيد القائد ابراهيم النابلسي,O O O O O O O O
حواره سالكه؟ ان شاء الله اه سالكه,B-LOC STAT O O O O STAT
 حاجز حواره فاتح,Barr B-LOC STAT
 لحقناها الطور انتيهو,O O O
 احرار بلاطة بحكو تحرك التفافي زواتا تبعو,O O O O O B-LOC O
الخير طريق حواره زعتره ؟؟؟ النور سالكة عالاخر وصلتي نابلس,O Barr B-LOC B-LOC O O STAT O O O
 حواره بيتا زعتره اريل نظيف,B-LOC B-LOC B-LOC B-LOC STAT
 دير شرف نظيف,B-LOC I-LOC STAT
 شافي شمرون سالك تفتيش,B-LOC I-LOC STAT STAT
 يعطيكم العافيه بوابة سلواد فاتحة اليوم,O O O O STAT O
؟؟؟ بالاوقات العادية يوم السبت بتفتح,O O B-LOC O O O
 حاجز حوارة,Barr B-LOC
يعطيكم العافيه بوابة سلواد فاتحة اليوم مسكره,O O O O STAT O STAT
 يسعد صباحكم الطريق زعترة لحاجز حوارة سالكة ونظيفة,O O Barr B-LOC Barr B-LOC STAT STAT
حاجز حوارة فاتح,Barr B-LOC STAT
 اريحا سالكه,O STAT
 الكنتينر سالك,B-LOC STAT
الخير دير شرف سالكة,O B-LOC I-LOC STAT
الطريق اريحا سالكة,Barr O STAT
 حواره سالكه,B-LOC STAT
طريق حوارة زعترا رام الله ؟ سالكة,Barr B-LOC B-LOC O O O STAT
صرة؟؟ سالكة,O STAT
 طريق بيت ايل سالكة بالاتجاهين,Barr B-LOC I-LOC STAT O
 اشارات بيت ايل سالكة,O B-LOC I-LOC STAT
الطريق اريحا لرام لله ؟ سالكة,Barr O B-LOC O O STAT
 اشارات عوفرا سالكة,O B-LOC STAT
 بوابة يبرود مغلقة,O O STAT
 اشارات عيون الحرامية سالكة,O O O STAT
الخير شباب الطريق جنين لرام لله سالكة,O O Barr O B-LOC O STAT
 ترمسعيا سالكة,B-LOC STAT
 اشارات شيلو سالكة,O O STAT
 اشارات عيلي سالكة,O O STAT
 ماشي يخوي يسلم ايديك,STAT O O O
 دوار زعترة سالك الاتجاهات,Barr B-LOC STAT O
الخيركيف الطريق طولكرم لنابلس سالكة,O Barr O O STAT
 دوار عينابوس سالك,Barr O STAT
هيني هسا مرقت سالكه فش اشي اه حكيتلك سالكة يلا الحمد لله,O O O STAT O STAT O O STAT O O O
اه حكيتلك سالكة يلا الحمد لله ماشي يخوي يسلم ايديك,O O STAT O O O STAT O O O
 دوار عينابوس سالك,Barr O STAT
 دوار يتسهار سالك,Barr B-LOC STAT
 مفرق يتسهار سالك,O B-LOC STAT
 بوابة مادما مغلقة,O B-LOC STAT
 طريق يتسهار سالكة بالاتجاهين,Barr B-LOC STAT O
 حاجز صرة سالك بالاتجاهين,Barr B-LOC STAT O
 شباب اليوم السبت كلو سالك ساعه,O O O O STAT O
 مفرق جيت سالك الاتجاهات,O B-LOC STAT O
 طريق جيت طولكرم سالكة بالاتجاهين,Barr B-LOC O STAT O
 مفرق الطنيب سالك,O O STAT
 طريق دير شرف سالكة,Barr B-LOC I-LOC STAT
 سياره شرطه باتجاه حاجز حواره,O B-ORG O Barr B-LOC
حواره سالكه؟؟ سالكة,B-LOC O STAT
حواره سالكه؟؟ سالكة وبيتا,B-LOC O STAT B-LOC
 حاجز صره سالك تماما للجهتين,Barr B-LOC STAT B-LOC O
الطريق الفندق رام الله يتساهر وحواره سالكة اهي,Barr B-LOC O O B-LOC O STAT O
الطريق الفندق رام الله يتساهر وحواره سالكين,Barr B-LOC O O B-LOC O STAT
 حاليا سالك بالاتجاهين شافي شمرون,O STAT O B-LOC I-LOC
شو وضع حوارة شباب سالكة,O O B-LOC O STAT
 حومش سالكة,O STAT
الطريق اريحا لجنين الحمرا سالكة الحمرا لحد الان,Barr O O B-LOC STAT B-LOC O O
 شرطه كدوميم,B-ORG B-LOC
 حومش شافي شمرون الطنيب مفرق جيت كلو سالك,O B-LOC I-LOC O O B-LOC O STAT
 سياره شرطه عدوار قدوميم القارمه,O B-ORG Barr B-LOC O
 يسعد صباحكم حاجز الكونتينر ازمة,O O Barr B-LOC STAT
 الكونتينر ازمه للطالع بيت لحم وسببها السائقين,B-LOC STAT O B-LOC O O O
الكونتينر ازمه للطالع بيت لحم وسببها السائقين صحيح للاسف,B-LOC STAT O B-LOC O O O O O
 العيزرية سالكه بلاتجاهينالطريق العيزرية بتجاة الشمال لغاية دوار مخماس سالكة لايوجد عوائق,B-LOC STAT O B-LOC O O O Barr O STAT O O
 حوارة سالك وطريق حوارة فش جنود,B-LOC STAT Barr B-LOC O O
 الخير بالطريق نابلس الى طولكرم ال عصيرة سالك,O O O O O I-LOC O STAT
